city ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
331,Maceio,BR,11/1/2020,-9.67,-35.74,77,83,0,10.29
332,Liverpool,GB,11/1/2020,53.41,-2.98,62.01,87,75,17.22
333,Cravo Norte,CO,11/1/2020,6.3,-70.2,76.95,88,69,7.74
334,Dong Hoi,VN,11/1/2020,17.48,106.6,74.19,88,72,9.73
335,Chazuta,PE,11/1/2020,-6.57,-76.14,86,62,40,3.36
336,Kamenka,RU,11/1/2020,51.32,42.77,41.27,78,20,8.12
337,Paita,PE,11/1/2020,-5.09,-81.11,63.72,85,78,15.93
338,Shahrud,IR,11/1/2020,36.42,54.98,53.02,41,9,2.08
339,Vestmannaeyjar,IS,11/1/2020,63.44,-20.27,39.27,73,0,17.54
340,Martapura,ID,11/1/2020,-3.42,114.85,75.07,94,100,3.04
341,Richmond,US,11/1/2020,37.55,-77.46,57.99,87,20,8.05
342,Luderitz,NA,11/1/2020,-26.65,15.16,64.71,55,61,11.81
343,Port Hedland,AU,11/1/2020,-20.32,118.57,77,69,75,11.41
344,Zarubino,RU,11/1/2020,42.63,131.09,40.8,65,0,18.9
345,Matamoros,MX,11/1/2020,25.53,-103.25,76.64,20,0,23.04
346,Bairiki,KI,11/1/2020,1.33,172.98,86,70,40,9.17
347,Acapulco,MX,11/1/2020,16.86,-99.89,83.98,70,92,7.36
348,Gamba,GA,11/1/2020,-2.65,10,76.41,91,100,4
349,Lompoc,US,11/1/2020,34.64,-120.46,78.8,44,1,10.29
350,Turkistan,KZ,11/1/2020,43,68,38.34,72,8,1.03
351,Sawtell,AU,11/1/2020,-30.38,153.1,69.8,64,90,20.8
352,Roald,NO,11/1/2020,62.58,6.13,48.2,76,40,13.87
353,Nsanje,MW,11/1/2020,-16.92,35.26,70.68,81,5,3.53
