City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
343,Port Hedland,AU,77.0,-20.32,118.57,The Esplanade Hotel
344,Zarubino,RU,40.8,42.63,131.09,"Okean, Baza Otdykha"
345,Matamoros,MX,76.64,25.53,-103.25,Recreativo Sabdy Briseidy
346,Bairiki,KI,86.0,1.33,172.98,Tarawa Boutique Hotel
347,Acapulco,MX,83.98,16.86,-99.89,HS Hotsson Smart Acapulco
348,Gamba,GA,76.41,-2.65,10.0,
349,Lompoc,US,78.8,34.64,-120.46,Holiday Inn Express Lompoc
350,Turkistan,KZ,38.34,43.0,68.0,
351,Sawtell,AU,69.8,-30.38,153.1,Boambee Waters Caravan Park
352,Roald,NO,48.2,62.58,6.13,Flem Cabins
353,Nsanje,MW,70.68,-16.92,35.26,Nsanje Discovery Lodge
354,Rawson,AR,78.98,-43.3,-65.1,Hotel Punta León
355,Almeirim,BR,85.59,-1.52,-52.58,Ricácio Hotel
356,Zhanaozen,KZ,57.27,43.3,52.8,K.korabay 28A
357,Fort Nelson,CA,15.8,58.81,-122.7,The Fort Nelson Hotel
358,Hiroshima,JP,64.4,34.4,132.46,Oriental Hotel Hiroshima
359,Kysyl-Syr,RU,-2.52,63.9,122.76,
360,Saba,HN,75.2,15.47,-86.25,Iglesia roca eterna shadday
361,Rosetown,CA,55.4,51.55,-108.0,Travelodge by Wyndham Rosetown
362,Hatillo,PR,82.0,18.49,-66.83,Hotel Parador El Buen Cafe
363,Beringovskiy,RU,24.13,63.05,179.32,Beringgorski
364,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
365,Yambio,SS,68.74,4.57,28.4,Kabash Inn
366,Nkhata Bay,MW,74.61,-11.61,34.29,Mayoka Village
367,Sola,VU,80.98,-13.88,167.55,Ulkel Guest House
368,Erattupetta,IN,77.0,9.7,76.78,White Castle Residency
369,Gigmoto,PH,80.1,13.78,124.39,Cj's Travellers Inn
370,Jacareacanga,BR,74.35,-6.22,-57.75,Casa do Ian😎
371,Talara,PE,64.45,-4.58,-81.27,Hostal Oro Negro
372,Avera,US,64.4,33.19,-82.53,
373,Kalmunai,LK,78.35,7.42,81.82,VS Villa
374,Vakhrushev,RU,48.51,48.98,142.97,
375,Cabo Rojo,PR,82.99,18.09,-67.15,Hotel Perichi's
376,Carauari,BR,77.83,-4.88,-66.9,Pousada Lobo
377,Veraval,IN,78.6,20.9,70.37,Lords Inn Somnath
378,Teruel,ES,55.4,40.67,-0.67,La Parra
379,Lavrentiya,RU,22.73,65.58,-171.0,
380,Borba,BR,75.94,-4.39,-59.59,Hotel da Amazônia
381,Ribas Do Rio Pardo,BR,75.09,-20.44,-53.76,Ataíde Martins
382,Komsomolskiy,UZ,46.4,40.43,71.72,Ikathouse
383,Mattru,SL,74.91,7.62,-11.83,Boima Gbondo's Compound
384,Saint-Quentin,FR,64.0,49.83,3.33,ibis Saint-Quentin Basilique
385,Hokitika,NZ,56.79,-42.72,170.97,Beachfront Hotel Hokitika
386,Craig,US,66.2,40.52,-107.55,Candlewood Suites Craig-Northwest
387,Makakilo City,US,84.2,21.35,-158.09,Marriott's Ko Olina Beach Club
388,Maniitsoq,GL,23.77,65.42,-52.9,Hotel Heilmann Lyberth
389,Itarema,BR,79.92,-2.92,-39.92,Windvillage
390,Krasnyy Kommunar,RU,33.8,51.96,55.37,
391,Maine-Soroa,NE,78.4,13.21,12.02,
392,Khatanga,RU,5.32,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
